date,cash_rate
Jan-19,1.50
Feb-19,1.50
Mar-19,1.50
Apr-19,1.50
May-19,1.50
Jun-19,1.28
Jul-19,1.02
Aug-19,1.00
Sep-19,1.00
Oct-19,0.76
Nov-19,0.75
Dec-19,0.75
Jan-20,0.75
Feb-20,0.75
Mar-20,0.43
Apr-20,0.25
May-20,0.25
Jun-20,0.25
Jul-20,0.25
Aug-20,0.25
Sep-20,0.25
Oct-20,0.25
Nov-20,0.11
Dec-20,0.10
Jan-21,0.10
Feb-21,0.10
Mar-21,0.10
Apr-21,0.10
May-21,0.10
Jun-21,0.10
Jul-21,0.10
Aug-21,0.10
Sep-21,0.10
Oct-21,0.10
Nov-21,0.10
Dec-21,0.10
Jan-22,0.10
Feb-22,0.10
Mar-22,0.10
Apr-22,0.10
May-22,0.33
Jun-22,0.73
Jul-22,1.28
Aug-22,1.81
Sep-22,2.25
